year,nitrogen,phosphorous,surf_temp_sum,bot_temp_ann,surf_sal_sum,bot_sal_ann,bot_oxy_ann,fishing_cod
1984,20.7562979016442,0.5909141043081437,14.647143822591213,4.62613682092064,6.1774663606607,8.83166355258035,4.298514636224155,0.7798201304589966
1985,20.693652126275698,0.5167932433295356,12.24113941273532,4.049684205978995,6.206346693712742,8.715647406630632,4.325501473268492,0.7705254924320717
1986,21.001172641872476,0.5564101821809879,12.242474655237881,4.047897472211355,6.228291487830467,8.14444191235945,4.598440528827842,0.927604875087102
1987,21.12561561286761,0.4828137666340232,10.251259987882523,3.915980881955538,5.984160459982986,8.349859583509517,4.310447863320012,0.87183704692555275
1988,19.332602829408014,0.5308539611881895,13.96106575473922,4.418284439443255,5.909042294503096,8.166351403730884,4.096483755950993,0.8253638567909284
1989,20.88782430801923,0.5963618314685456,13.655159730356994,4.942516353800568,5.87595860535352,7.925875664680823,4.248610821607195,0.961995035786724
1990,19.1076944721163,0.6696232769104367,14.120607245212433,5.8025483536310185,5.775623590243049,8.014569965404771,4.331217810118025,1.1144270994282919
1991,17.2427254977381,0.7300543771210859,13.936547279557537,5.382285591898189,5.747555671385745,7.841052172491775,4.645387320551306,1.2529172060294724
1992,18.98659871194239,0.5693907295426829,14.260893515409323,5.906309806751795,5.928452359678019,7.960332118422828,4.72195589734094,0.9387584407194118
1993,19.00725144923148,0.49142949516164464,12.911399033632133,4.784502422064167,5.776508712244121,8.286052877276665,4.950961728496143,0.5139934828889453
1994,21.16222200594884,0.48015507404198804,14.73264453460087,4.491006674671398,5.679972664943063,8.403855664737623,4.604889706731947,0.566972919642417
1995,21.537491307360344,0.5096726747822589,14.005108377728158,4.775703340000224,5.62235187976339,8.293047899936205,4.5557655308074105,0.7128987366651375
1996,22.301522351689588,0.5374525095686924,13.029930023002178,4.55339394889408,5.632376280748654,8.349020595146634,4.181230410133769,0.8448825966474707
1997,22.32114686503646,0.6057967329569023,13.388729833927636,4.615567386595597,5.6627753844875,8.211789538865697,4.483194742305564,0.9415468321274892
1998,21.026409602889096,0.5948996888085306,12.642342963323369,5.699702272077342,5.583100978293958,8.712896700055648,3.7692993491520626,0.8960031057955574
1999,21.324201034405927,0.6144972537211719,13.906398225270403,4.959957555658293,5.539384667906308,8.26465109110254,4.1635841139343315,0.858824553687858
2000,21.89145077800858,0.5884530966137783,13.675758310909352,5.494179239299047,5.596490050994716,8.081255054889018,4.430726798431729,0.923887019876332
2001,21.592904987582493,0.5763387013101262,14.412479077557945,6.195184768974938,5.359293698742282,8.072945047237704,4.024295071697592,0.9861610946567286
2002,21.1893107612519,0.638109273999022,15.791273065079444,5.87643031904822,5.44072863988875,8.120615049688992,4.086456478279702,1.0047503707105783
2003,18.89701379038758,0.4985720834719721,15.11148761306745,4.587938403299722,5.573639247674057,8.983302000483263,4.054208630281282,0.9880200222621136
2004,20.29265672721802,0.5721865653426212,13.428136742747101,5.484782177491937,5.662174365339351,8.634821962036046,4.0345498622968385,1.137663694495604
2005,21.153597367259398,0.6479240768588671,14.384054632584313,5.468483958012039,5.601732073485126,8.431869472125605,4.085355317982094,0.9322521941005644
2006,21.300887623577285,0.6144192418890789,15.058108353116362,5.361173083131893,5.570186861928096,8.561985015688036,3.994602791455364,0.8420942052393933
2007,21.24934454558486,0.608627807498398,14.157796291853167,6.8375929628097225,5.677518438129765,8.309728598027313,3.9393224535443006,0.7166165918759074
2008,21.2141500605883,0.5995382651031025,14.070295465607037,6.377187094305657,5.725378482236098,8.14491602682118,4.100776594705998,0.5130640190862529
2009,22.84581943110808,0.5959843758386442,14.52488175089221,6.518494873158737,5.6996671255900635,8.185173468073057,4.040976438661713,0.43498905966008394
2010,22.779899788151866,0.6111046346824393,14.557924511297275,5.437676547031668,5.5473882552590945,8.342638826145578,4.066405653375802,0.39223372473622947
2011,23.160106664927614,0.6683098958454533,14.810301853849934,5.174746205832614,5.74052187881234,8.027937519832017,4.243806326240196,0.3643498106554549
2012,20.89825245840527,0.6629642910071025,14.893180277231977,5.811382435006942,5.604406676242744,7.847707454112422,4.010676869258693,0.47534378848683734
2013,24.226884686331168,0.6089484690598291,15.356148329411822,5.370576573522838,5.307377095923361,7.7337690726571555,3.927121101149137,0.4628883647319673
2014,22.707228661986324,0.6221308037959373,15.351450607330737,6.074834368281539,5.5363338723145,7.642184965217794,3.968898985203915,0.4715824046272597
2015,22.07768347307772,0.6913849382723052,14.30170752119823,6.5865760012116334,5.753724700723171,7.621832941342381,3.9104099475272256,0.5291279484944337
2016,22.92614486228261,0.6186997735576193,14.997436065741393,7.135100134382953,5.531057316934893,7.570952881653848,3.885343217094359,0.40550993845651745
